_id	pin	address	billing_city	current_delq_tax	current_delq_pi	prior_years	prior_delq_tax	prior_delq_pi	state_description	neighborhood	council_district	ward	public_works_division	pli_division	police_zone	fire_zone	longitude	latitude
935110	0086D00111000300	6345 AYLESBORO AVE	IRVING, TX	0	0	1	5886.68	98.11	Residential	Squirrel Hill North	8	14	3	14	4	2-18	-79.91866198024474	40.44055690124977
935111	0086D00195000000	1552 BEECHWOOD BLVD	PITTSBURGH, PA	0	0	1	163.18	0	Residential	Squirrel Hill North	8	14	3	14	4	2-18	-79.91718173368548	40.44070704625525
935112	0086E00057000000	1445 BENNINGTON AVE	PITTSBURGH, PA	0	0	1	291.19	84.92	Residential	Squirrel Hill North	8	14	3	14	4	2-8	-79.93114077683789	40.44058555631784
935113	0086E00168000000	5445 AYLESBORO AVE	PITTSBURGH, PA	0	0	1	2415.7	40.25	Residential	Squirrel Hill North	8	14	3	14	4	2-8	-79.93158648907419	40.43902105000596
935114	0086E00244000000	5458 AYLESBORO AVE	IRVING, TX	0	0	1	1458.39	279.52	Residential	Squirrel Hill North	8	14	3	14	4	2-8	-79.93094442622093	40.438591624988526
935115	0086E00255000000	5440 AYLESBORO AVE	PITTSBURGH, PA	0	0	1	115.72	38.58	Residential	Squirrel Hill North	8	14	3	14	4	2-8	-79.93157583450324	40.438451202203936
935116	0086E00336000000	5531 FORBES AVE	SARATOGA, CA	0	0	1	1180.87	275.52	Residential	Squirrel Hill North	8	14	3	14	4	2-8	-79.92943228525296	40.43827393909616
935117	0086F00053000000	5605 AYLESBORO AVE	PITTSBURGH, PA	0	0	1	279.22	72.12	Residential	Squirrel Hill North	8	14	3	14	4	2-18	-79.92690321153245	40.43999904034315
935118	0086F00074000000	1538 S NEGLEY AVE	DES MOINES, IA	0	0	1	1617.84	539.25	Residential	Squirrel Hill North	8	14	3	14	4	2-18	-79.92565678390598	40.440153008586165
935119	0086F00235000000	5632 MARLBOROUGH RD	PITTSBURGH, PA	0	0	1	5283.97	88.07	Residential	Squirrel Hill North	8	14	3	14	4	2-18	-79.92633598314721	40.43857494593108
935120	0086G00009000000	1533 VALMONT ST	IRVING, TX	0	0	1	3191.84	1063.9	Residential	Squirrel Hill North	8	14	3	14	4	2-18	-79.9239314876267	40.440305532570775
935121	0086G00197002500	1660 MURRAY AVE UNIT 25	PITTSBURGH, PA	0	0	1	998.04	352.53	Residential	Squirrel Hill North	8	14	3	14	4	2-18	-79.92344325071254	40.438904803626514
935122	0086G00197003200	1660 MURRAY AVE UNIT 32	PITTSBURGH, PA	0	0	1	43.42	14.48	Residential	Squirrel Hill North	8	14	3	14	4	2-18	-79.92362089234862	40.43883882290185
935123	0086H00018000000	5886 AYLESBORO AVE	IRVING, TX	0	0	1	4265.25	2096.99	Residential	Squirrel Hill North	8	14	3	14	4	2-18	-79.91975936177998	40.43968329244719
935124	0086H00105000000	6308 AYLESBORO AVE	PITTSBURGH, PA	0	0	1	6239.71	1507.87	Residential	Squirrel Hill North	8	14	3	14	4	2-18	-79.91910923910315	40.44017327741764
935125	0086H00106000A00	6312 AYLESBORO AVE	PITTSBURGH, PA	0	0	1	1019.72	118.97	Residential	Squirrel Hill North	8	14	3	14	4	2-18	-79.91892839172736	40.44019384659936
935126	0086H00200000000	1611 DENNISTON ST	POMONA, CA	0	0	1	1970.06	49.26	Residential	Squirrel Hill North	8	14	3	14	4	2-18	-79.91766129406719	40.44005227397816
935127	0086H00282000000	1606 BEECHWOOD BLVD	IRVING, TX	0	0	1	2817.75	821.81	Residential	Squirrel Hill North	8	14	3	14	4	2-18	-79.91701990781088	40.44031545126533
935128	0086J00042000000	5528 DARLINGTON RD	PITTSBURGH, PA	0	0	1	2163.02	36.05	Residential	Squirrel Hill South	5	14	3	14	4	2-21	-79.92952171388454	40.436414520360636
935129	0086J00051000000	5508 DARLINGTON RD	IRVING, TX	0	0	1	4093.43	1193.87	Residential	Squirrel Hill South	5	14	3	14	4	2-21	-79.93021354567733	40.436382157195695
935130	0086J00105000000	5431 DARLINGTON RD	PITTSBURGH, PA	0	0	1	5024.22	0	Residential	Squirrel Hill South	5	14	3	14	4	2-21	-79.93263768751744	40.43621094487239
935131	0086J00179000000	5530 FORBES AVE	PITTSBURGH, PA	0	0	1	2980.59	49.66	Residential	Squirrel Hill South	5	14	3	14	4	2-21	-79.92937531777805	40.4375851035211
935132	0086J00187000000	5520 FORBES AVE	SHANKSVILLE, PA	0	0	1	2969.57	643.38	Residential	Squirrel Hill South	5	14	3	14	4	2-8	-79.92980857494457	40.43765581155459
935133	0086J00203000000	1718 MURDOCH RD	PITTSBURGH, PA	0	0	1	5365.36	1564.83	Residential	Squirrel Hill South	5	14	3	14	4	2-21	-79.93107581240639	40.437252650665215
935134	0086K00004000000	5556 FORBES AVE	PITTSBURGH, PA	0	0	1	1864.74	543.87	Residential	Squirrel Hill South	5	14	3	14	4	2-8	-79.92850361299546	40.43764551927399
935135	0086K00039000000	1808 WIGHTMAN ST	PITTSBURGH, PA	0	0	1	5916.7	0	Residential	Squirrel Hill South	5	14	3	14	4	2-21	-79.92810499521617	40.436415836377606
935136	0086K00078000000	5621 BARTLETT ST	PITTSBURGH, PA	0	0	1	250.47	123.15	Residential	Squirrel Hill South	5	14	3	14	4	2-21	-79.92668404559606	40.43608624907626
935137	0086K00154000000	5609 DARLINGTON RD	IRVING, TX	0	0	1	1133.29	340.56	Residential	Squirrel Hill South	5	14	3	14	4	2-21	-79.92717757418123	40.43701718383389
935138	0086K00212000000	7 HOLLENDEN PL	CHICAGO, IL	0	0	1	978.74	407.79	Residential	Squirrel Hill South	5	14	3	14	4	2-21	-79.9273286908288	40.437579418310094
935139	0086L00086000000	5835 DARLINGTON RD	NEW CASTLE, PA	0	0	1	15608.24	260.12	Commercial	Squirrel Hill South	5	14	3	14	4	2-21	-79.92141466096078	40.43731441031687
935140	0086L00092000000	5825 DARLINGTON RD	PITTSBURGH, PA	0	0	1	383.69	0	Residential	Squirrel Hill South	5	14	3	14	4	2-21	-79.92185857743618	40.43730415556919
935141	0086L00095000000	5821 DARLINGTON RD	PITTSBURGH, PA	0	0	1	462.6	0	Commercial	Squirrel Hill South	5	14	3	14	4	2-21	-79.92203831891766	40.43729956106183
935142	0086L00157000000	5820 DARLINGTON RD	IRVING, TX	0	0	1	45.07	15.03	Residential	Squirrel Hill South	5	14	3	14	4	2-21	-79.92201219807897	40.43673625532595
935143	0086L00180000000	5855 BARTLETT ST	PITTSBURGH, PA	0	0	1	3040.08	50.67	Residential	Squirrel Hill South	5	14	3	14	4	2-21	-79.9204394953098	40.43645624531906
935144	0086L00282000000	5846 BARTLETT ST	CRANBERRY TWP, PA	0	0	1	78.67	0	Commercial	Squirrel Hill South	5	14	3	14	4	2-21	-79.9211298369832	40.43584576040531
935145	0086M00065000000	6408 FORBES AVE	PITTSBURGH, PA	0	0	1	4526.4	0	Residential	Squirrel Hill South	5	14	3	14	4	2-18	-79.91723363825018	40.437785674316395
935146	0086M00189000000	6314 DARLINGTON RD	IRVING, TX	0	0	1	2329.99	679.55	Residential	Squirrel Hill South	5	14	3	14	4	2-21	-79.91858426157003	40.43687036091534
935147	0086M00204000000	6400 DARLINGTON RD	HERMITAGE, PA	0	0	1	3525.01	0	Residential	Squirrel Hill South	5	14	3	14	4	2-21	-79.91754176556877	40.436540621100285
935148	0086M00220000000	6432 DARLINGTON RD	PITTSBURGH, PA	0	0	1	1839.3	122.62	Residential	Squirrel Hill South	5	14	3	14	4	2-21	-79.91645983698889	40.43628452708962
935149	0086N00041000000	5477 BARTLETT ST	PITTSBURGH, PA	0	0	1	5240.77	87.34	Residential	Squirrel Hill South	5	14	3	14	4	2-21	-79.93085010945315	40.43556113815784
935150	0086N00133000000	1932 MURDOCH RD	PITTSBURGH, PA	0	0	1	4200.82	0	Residential	Squirrel Hill South	5	14	3	14	4	2-21	-79.93094572015734	40.43434404530914
935151	0086N00142000000	1914 MURDOCH RD	POMONA, CA	0	0	1	1340.7	0	Residential	Squirrel Hill South	5	14	3	14	4	2-21	-79.93090569549774	40.434792361944
935152	0086N00231000000	5533 BEACON ST	PITTSBURGH, PA	0	0	1	35.32	0.59	Residential	Squirrel Hill South	5	14	3	14	4	2-21	-79.92926648850165	40.43420931857791
935153	0086P00150061500	5600 MUNHALL RD UNIT 615	PITTSBURGH, PA	0	0	1	38.26	0	Residential	Squirrel Hill South	5	14	3	14	4	2-21	-79.92633332252963	40.433454703037995
935154	0086R00054030300	5715 BEACON ST UNIT 303	INDIANA, PA	0	0	1	1450.93	0	Residential	Squirrel Hill South	5	14	3	14	4	2-21	-79.92416516702896	40.43489740556194
935155	0086R00210000000	5821 HOBART ST	ROANOKE, TX	0	0	1	4277.07	0	Residential	Squirrel Hill South	5	14	3	14	4	2-21	-79.92215035692445	40.43411550829113
935156	0086R00216000000	5833 HOBART ST	IRVING, TX	0	0	1	4264.16	1243.66	Residential	Squirrel Hill South	5	14	3	14	4	2-21	-79.92166450113614	40.43418606352292
935157	0086R00308030400	5859 BEACON ST UNIT 304	WEST PALM BEAC, FL	0	0	1	64.05	11.21	Residential	Squirrel Hill South	5	14	3	14	4	2-21	-79.92055528670257	40.435438692966
935158	0086S00096000000	2200 SHADY AVE	PITTSBURGH, PA	0	0	1	1496.83	24.95	Residential	Squirrel Hill South	5	14	3	14	4	2-21	-79.91880544633771	40.43336584742914
935159	0086S00099000000	2205 SHADY AVE	PITTSBURGH, PA	0	0	1	4036.91	0	Residential	Squirrel Hill South	5	14	3	14	4	2-21	-79.91812539050512	40.433378642994555
935160	0086S00131000000	6345 DOUGLAS ST	PITTSBURGH, PA	0	0	1	3843.93	1122.51	Residential	Squirrel Hill South	5	14	3	14	4	2-21	-79.916802885079	40.43403111071404
